type, ID, parentID, startX, startY, startZ, endX, endY, endZ, radius, volume, growthVolume, length, growthLength, FittingType,segmentID, parentSegmentID, segmentMedianRadius, segmentGrowthVolume, segmentGrowthLength, branchOrder, reverseBranchOrder, reversePipeRadiusBranchorder, reversePipeAreaBranchorder, branchID, treeID, treeSpecies, translateX, translateY, translatez, gvA, gvB, gvC, glA, glB, glC
cylinder,16,15,2.967164,-3.326419,1.176208,2.967163,-3.291192,1.267757,0.261108,0.02101,0.880359,0.098093,4160.709388, ALLOMETRICGROWTHVOLUME,6,5,0.261054,0.859349,4160.611295,0,50,91.076891,8295,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,17,16,2.967163,-3.291192,1.267757,2.942843,-3.330522,1.438645,0.261054,0.037902,0.859349,0.177034,4160.611295, ALLOMETRICGROWTHVOLUME,6,5,0.261054,0.859349,4160.611295,0,50,91.076891,8295,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,18,17,2.942843,-3.330522,1.438645,2.949548,-3.352434,1.517005,0.260957,0.017466,0.821446,0.081642,4160.434261, ALLOMETRICGROWTHVOLUME,6,5,0.261054,0.859349,4160.611295,0,50,91.076891,8295,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,19,18,2.949548,-3.352434,1.517005,2.912691,-3.375093,1.575512,0.245488,0.013776,0.682741,0.072766,3476.396952, SPHEREFOLLOWING,7,6,0.245488,0.682741,3476.396952,0,49,83.486526,6970,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,20,19,2.912691,-3.375093,1.575512,2.941338,-3.344808,1.802067,0.221612,0.035542,0.648418,0.230358,3294.723051, SPHEREFOLLOWING,8,7,0.221612,0.648418,3294.723051,0,48,81.394103,6625,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,21,20,2.941338,-3.344808,1.802067,2.932295,-3.225081,1.877036,0.20919,0.01946,0.465307,0.141551,2485.619458, SPHEREFOLLOWING,9,8,0.20919,0.465307,2485.619458,0,45,70.809604,5014,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,22,21,2.932295,-3.225081,1.877036,3.008552,-3.206538,1.975738,0.197221,0.015409,0.445747,0.126099,2482.620306, SPHEREFOLLOWING,10,9,0.197221,0.430339,2482.494207,0,44,70.781353,5010,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,23,22,3.008552,-3.206538,1.975738,2.992551,-3.238452,2.01193,0.197221,0.006212,0.430339,0.050838,2482.494207, MEDIAN,10,9,0.197221,0.430339,2482.494207,0,44,70.781353,5010,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,24,23,2.992551,-3.238452,2.01193,2.964088,-3.086743,2.330917,0.09613,0.010288,0.159557,0.354371,1031.015385, SPHEREFOLLOWING,11,10,0.096427,0.14609,1030.541038,0,43,45.989129,2115,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,25,24,2.964088,-3.086743,2.330917,2.948183,-3.059812,2.446745,0.091833,0.003179,0.149269,0.119977,1030.661014, SPHEREFOLLOWING,11,10,0.096427,0.14609,1030.541038,0,43,45.989129,2115,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,26,25,2.948183,-3.059812,2.446745,2.944716,-3.026505,2.565756,0.096427,0.003611,0.14609,0.123632,1030.541038, SPHEREFOLLOWING,11,10,0.096427,0.14609,1030.541038,0,43,45.989129,2115,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,27,26,2.944716,-3.026505,2.565756,2.953339,-2.992658,2.665723,0.098917,0.003255,0.142479,0.105893,1030.417405, SPHEREFOLLOWING,11,10,0.096427,0.14609,1030.541038,0,43,45.989129,2115,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,28,27,2.953339,-2.992658,2.665723,2.959882,-2.965457,2.7863,0.106581,0.004417,0.139224,0.12378,1030.311512, SPHEREFOLLOWING,11,10,0.096427,0.14609,1030.541038,0,43,45.989129,2115,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,29,28,2.959882,-2.965457,2.7863,2.94869,-2.945741,2.849233,0.096563,0.00196,0.134793,0.066892,1029.907417, ALLOMETRICGROWTHVOLUME,12,11,0.096563,0.134793,1029.907417,0,42,45.978256,2114,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,30,29,2.94869,-2.945741,2.849233,2.952277,-2.941179,2.935306,0.096017,0.002499,0.132414,0.086269,1019.662716, ALLOMETRICGROWTHVOLUME,13,12,0.096017,0.132414,1019.662716,0,41,45.782093,2096,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,31,30,2.952277,-2.941179,2.935306,2.957957,-2.852685,3.028556,0.095952,0.003722,0.129899,0.128682,1019.191337, ALLOMETRICGROWTHVOLUME,14,13,0.095952,0.129899,1019.191337,0,40,45.77117,2095,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,32,31,2.957957,-2.852685,3.028556,2.865789,-2.866186,3.225021,0.051959,0.001844,0.054861,0.21743,397.15534, ALLOMETRICGROWTHVOLUME,15,14,0.05191,0.05214,396.834415,0,37,28.79236,829,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,33,32,2.865789,-2.866186,3.225021,2.848069,-2.849673,3.325642,0.05191,0.000876,0.053016,0.103495,396.93791, ALLOMETRICGROWTHVOLUME,15,14,0.05191,0.05214,396.834415,0,37,28.79236,829,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,34,33,2.848069,-2.849673,3.325642,2.855171,-2.811229,3.404989,0.05188,0.000748,0.05214,0.088456,396.834415, ALLOMETRICGROWTHVOLUME,15,14,0.05191,0.05214,396.834415,0,37,28.79236,829,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,35,34,2.855171,-2.811229,3.404989,2.829038,-2.784988,3.474408,0.051858,0.000665,0.051392,0.078679,396.745959, ALLOMETRICGROWTHVOLUME,15,14,0.05191,0.05214,396.834415,0,37,28.79236,829,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,36,35,2.829038,-2.784988,3.474408,2.868611,-2.756317,3.60791,0.05183,0.0012,0.050694,0.142165,395.341993, ALLOMETRICGROWTHVOLUME,16,15,0.05183,0.050694,395.341993,0,36,28.774989,828,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,37,36,2.868611,-2.756317,3.60791,2.871085,-2.729288,3.718261,0.05179,0.000958,0.049481,0.11364,394.953137, ALLOMETRICGROWTHVOLUME,17,16,0.051759,0.047676,394.73885,0,35,28.757608,827,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
